"session","player","stage","step","round","time","timeup"
"room000049","687148863984999","instructions","instructions",1,1057,0
"room000049","687148863984999","quiz","quiz",1,2635,0
"room000049","687148863984999","DD","DD",1,4523,0
"room000049","687148863984999","game","guess",1,5174,0
"room000049","687148863984999","game","results",1,5704,0
"room000049","687148863984999","game","guess",2,11157,1
"room000049","687148863984999","game","results",2,6521,1
"room000049","687148863984999","game","guess",3,10008,1
"room000049","687148863984999","game","results",3,5362,1
"room000049","687148863984999","game","guess",4,11637,1
"room000049","687148863984999","game","results",4,5156,1
