"session","player","stage","step","round","time","timeup"
"room000059","327644997566074","instructions","instructions",1,489,0
"room000059","327644997566074","quiz","quiz",1,2067,0
"room000059","327644997566074","DD","DD",1,12044,0
"room000059","327644997566074","game","guess",1,10314,1
"room000059","327644997566074","game","results",1,5885,1
"room000059","327644997566074","game","guess",2,11060,1
"room000059","327644997566074","game","results",2,5839,1
"room000059","327644997566074","game","guess",3,10982,1
"room000059","327644997566074","game","results",3,5829,1
"room000059","327644997566074","game","guess",4,10637,1
"room000059","327644997566074","game","results",4,5819,1
