"session","player","stage","step","round","time","timeup"
"room000042","515608906999306","instructions","instructions",1,512,0
"room000042","515608906999306","quiz","quiz",1,2731,0
"room000042","515608906999306","DD","DD",1,26672,0
"room000042","515608906999306","game","guess",1,10836,1
"room000042","515608906999306","game","results",1,5863,1
"room000042","515608906999306","game","guess",2,10846,1
"room000042","515608906999306","game","results",2,5297,1
"room000042","515608906999306","game","guess",3,10521,1
"room000042","515608906999306","game","results",3,5154,1
"room000042","515608906999306","game","guess",4,11312,1
"room000042","515608906999306","game","results",4,6104,1
